client_id,age,job,marital,education,campaign_calls,contact,outcome
1,34,admin,single,university.degree,2,cellular,yes
3,29,technician,single,university.degree,1,cellular,yes
5,41,management,married,university.degree,3,telephone,yes
7,60,retired,married,basic.4y,1,cellular,yes
9,48,entrepreneur,divorced,high.school,4,cellular,no
11,55,housemaid,married,basic.4y,2,telephone,no
13,31,unemployed,single,high.school,5,cellular,no
16,44,admin,divorced,university.degree,2,cellular,yes
17,33,technician,married,professional.course,1,cellular,yes
18,58,retired,married,basic.9y,1,cellular,yes
19,22,student,single,university.degree,3,cellular,no
20,47,management,married,university.degree,2,telephone,yes
